LexToken(CLASS,'class',3,0)
LexToken(ID,'Estudiante',3,6)
LexToken(LBRACE,'{',3,17)
LexToken(FINAL,'final',4,21)
LexToken(STRING,'String',4,27)
LexToken(ID,'nombre',4,34)
LexToken(SEMICOLON,';',4,40)
LexToken(FINAL,'final',5,44)
LexToken(LIST,'List',5,50)
LexToken(LESS,'<',5,54)
LexToken(DOUBLE,'double',5,55)
LexToken(GREATER,'>',5,61)
LexToken(ID,'notas',5,63)
LexToken(SEMICOLON,';',5,68)
LexToken(ID,'Estudiante',7,73)
LexToken(LPAREN,'(',7,83)
LexToken(THIS,'this',7,84)
LexToken(DOT,'.',7,88)
LexToken(ID,'nombre',7,89)
LexToken(COMMA,',',7,95)
LexToken(THIS,'this',7,97)
LexToken(DOT,'.',7,101)
LexToken(ID,'notas',7,102)
LexToken(RPAREN,')',7,107)
LexToken(LBRACE,'{',7,109)
LexToken(IF,'if',8,115)
LexToken(LPAREN,'(',8,118)
LexToken(ID,'notas',8,119)
LexToken(DOT,'.',8,124)
LexToken(ID,'any',8,125)
LexToken(LPAREN,'(',8,128)
LexToken(LPAREN,'(',8,129)
LexToken(ID,'n',8,130)
LexToken(RPAREN,')',8,131)
LexToken(ARROW,'=>',8,133)
LexToken(ID,'n',8,136)
LexToken(LESS,'<',8,138)
LexToken(INT,0,8,140)
LexToken(OR,'||',8,142)
LexToken(ID,'n',8,145)
LexToken(GREATER,'>',8,147)
LexToken(INT,10,8,149)
LexToken(RPAREN,')',8,151)
LexToken(RPAREN,')',8,152)
LexToken(LBRACE,'{',8,154)
LexToken(THROW,'throw',9,162)
LexToken(ID,'ArgumentError',9,168)
LexToken(LPAREN,'(',9,181)
LexToken(STRING,'Las notas deben estar entre 0 y 10.',9,182)
LexToken(RPAREN,')',9,219)
LexToken(SEMICOLON,';',9,220)
LexToken(RBRACE,'}',10,226)
LexToken(RBRACE,'}',11,230)
LexToken(DOUBLE,'double',13,235)
LexToken(ID,'get',13,242)
