LexToken(CLASS,'class',2,5)
LexToken(ID,'Estudiante',2,11)
LexToken(LBRACE,'{',2,22)
LexToken(FINAL,'final',3,26)
LexToken(STRING,'String',3,32)
LexToken(ID,'nombre',3,39)
LexToken(SEMICOLON,';',3,45)
LexToken(FINAL,'final',4,49)
LexToken(LIST,'List',4,55)
LexToken(LESS,'<',4,59)
LexToken(DOUBLE,'double',4,60)
LexToken(GREATER,'>',4,66)
LexToken(ID,'notas',4,68)
LexToken(SEMICOLON,';',4,73)
LexToken(ID,'Estudiante',6,78)
LexToken(LPAREN,'(',6,88)
LexToken(THIS,'this',6,89)
LexToken(DOT,'.',6,93)
LexToken(ID,'nombre',6,94)
LexToken(COMMA,',',6,100)
LexToken(THIS,'this',6,102)
LexToken(DOT,'.',6,106)
LexToken(ID,'notas',6,107)
LexToken(RPAREN,')',6,112)
LexToken(LBRACE,'{',6,114)
LexToken(IF,'if',7,120)
LexToken(LPAREN,'(',7,123)
LexToken(ID,'notas',7,124)
LexToken(DOT,'.',7,129)
LexToken(ID,'any',7,130)
LexToken(LPAREN,'(',7,133)
LexToken(LPAREN,'(',7,134)
LexToken(ID,'n',7,135)
LexToken(RPAREN,')',7,136)
LexToken(ARROW,'=>',7,138)
LexToken(ID,'n',7,141)
LexToken(LESS,'<',7,143)
LexToken(INT,0,7,145)
LexToken(OR,'||',7,147)
LexToken(ID,'n',7,150)
LexToken(GREATER,'>',7,152)
LexToken(INT,10,7,154)
LexToken(RPAREN,')',7,156)
LexToken(RPAREN,')',7,157)
LexToken(LBRACE,'{',7,159)
LexToken(THROW,'throw',8,167)
LexToken(ID,'ArgumentError',8,173)
LexToken(LPAREN,'(',8,186)
LexToken(STRING,'Las notas deben estar entre 0 y 10.',8,187)
LexToken(RPAREN,')',8,224)
LexToken(SEMICOLON,';',8,225)
LexToken(RBRACE,'}',9,231)
LexToken(RBRACE,'}',10,235)
LexToken(DOUBLE,'double',12,240)
LexToken(ID,'get',12,247)
LexToken(ID,'promedio',12,251)
LexToken(ARROW,'=>',12,260)
LexToken(ID,'notas',12,263)
LexToken(DOT,'.',12,268)
LexToken(ID,'reduce',12,269)
LexToken(LPAREN,'(',12,275)
LexToken(LPAREN,'(',12,276)
LexToken(ID,'a',12,277)
LexToken(COMMA,',',12,278)
LexToken(ID,'b',12,280)
LexToken(RPAREN,')',12,281)
LexToken(ARROW,'=>',12,283)
LexToken(ID,'a',12,286)
LexToken(PLUS,'+',12,288)
LexToken(ID,'b',12,290)
LexToken(RPAREN,')',12,291)
LexToken(DIVIDE,'/',12,293)
LexToken(ID,'notas',12,295)
LexToken(DOT,'.',12,300)
LexToken(LENGTH,'length',12,301)
LexToken(SEMICOLON,';',12,307)
LexToken(STRING,'String',14,312)
LexToken(ID,'get',14,319)
LexToken(ID,'estado',14,323)
LexToken(ARROW,'=>',14,330)
LexToken(ID,'promedio',14,333)
LexToken(GREATER_EQUAL,'>=',14,342)
LexToken(INT,7,14,345)
LexToken(QUESTION,'?',14,347)
LexToken(STRING,'Aprobado',14,349)
LexToken(COLON,':',14,360)
LexToken(STRING,'Reprobado',14,362)
LexToken(SEMICOLON,';',14,373)
LexToken(STRING,'String',16,378)
LexToken(ID,'clasificacion',16,385)
LexToken(LPAREN,'(',16,398)
LexToken(RPAREN,')',16,399)
LexToken(LBRACE,'{',16,401)
LexToken(IF,'if',17,407)
LexToken(LPAREN,'(',17,410)
LexToken(ID,'promedio',17,411)
LexToken(GREATER_EQUAL,'>=',17,420)
LexToken(FLOAT,9.0,17,423)
LexToken(RPAREN,')',17,426)
LexToken(RETURN,'return',17,428)
LexToken(STRING,'Excelente',17,435)
LexToken(SEMICOLON,';',17,446)
LexToken(IF,'if',18,452)
LexToken(LPAREN,'(',18,455)
LexToken(ID,'promedio',18,456)
LexToken(GREATER_EQUAL,'>=',18,465)
LexToken(FLOAT,8.0,18,468)
LexToken(RPAREN,')',18,471)
LexToken(RETURN,'return',18,473)
LexToken(STRING,'Bueno',18,480)
LexToken(SEMICOLON,';',18,487)
LexToken(IF,'if',19,493)
LexToken(LPAREN,'(',19,496)
LexToken(ID,'promedio',19,497)
LexToken(GREATER_EQUAL,'>=',19,506)
LexToken(FLOAT,7.0,19,509)
LexToken(RPAREN,')',19,512)
LexToken(RETURN,'return',19,514)
LexToken(STRING,'Regular',19,521)
LexToken(SEMICOLON,';',19,530)
LexToken(RETURN,'return',20,536)
LexToken(STRING,'Insuficiente',20,543)
LexToken(SEMICOLON,';',20,557)
LexToken(RBRACE,'}',21,561)
LexToken(RBRACE,'}',22,563)
LexToken(VOID,'void',24,566)
LexToken(ID,'main',24,571)
LexToken(LPAREN,'(',24,575)
LexToken(RPAREN,')',24,576)
LexToken(LBRACE,'{',24,578)
LexToken(LIST,'List',25,582)
LexToken(LESS,'<',25,586)
LexToken(ID,'Estudiante',25,587)
LexToken(GREATER,'>',25,597)
LexToken(ID,'estudiantes',25,599)
LexToken(ASSIGN,'=',25,611)
LexToken(LBRACKET,'[',25,613)
LexToken(ID,'Estudiante',26,619)
LexToken(LPAREN,'(',26,629)
LexToken(STRING,'Ana',26,630)
LexToken(COMMA,',',26,635)
LexToken(LBRACKET,'[',26,637)
LexToken(FLOAT,9.0,26,638)
LexToken(COMMA,',',26,641)
LexToken(FLOAT,8.5,26,643)
LexToken(COMMA,',',26,646)
LexToken(FLOAT,9.2,26,648)
LexToken(RBRACKET,']',26,651)
LexToken(RPAREN,')',26,652)
LexToken(COMMA,',',26,653)
LexToken(ID,'Estudiante',27,659)
LexToken(LPAREN,'(',27,669)
LexToken(STRING,'Luis',27,670)
LexToken(COMMA,',',27,676)
LexToken(LBRACKET,'[',27,678)
LexToken(FLOAT,6.5,27,679)
LexToken(COMMA,',',27,682)
LexToken(FLOAT,7.0,27,684)
LexToken(COMMA,',',27,687)
LexToken(FLOAT,6.8,27,689)
LexToken(RBRACKET,']',27,692)
