LexToken(VOID,'void',89,0)
LexToken(ID,'main',89,5)
LexToken(LPAREN,'(',89,9)
LexToken(RPAREN,')',89,10)
LexToken(LBRACE,'{',89,12)
LexToken(LIST,'List',90,16)
LexToken(LESS,'<',90,20)
LexToken(STRING,'String',90,21)
LexToken(QUESTION,'?',90,27)
LexToken(GREATER,'>',90,28)
LexToken(ID,'pruebas',90,30)
LexToken(ASSIGN,'=',90,38)
LexToken(LBRACKET,'[',90,40)
LexToken(STRING,'Anita lava la tina',91,46)
LexToken(COMMA,',',91,66)
LexToken(STRING,'¿Acaso hubo búhos acá?',92,72)
LexToken(COMMA,',',92,96)
LexToken(STRING,'No es palindromo',93,102)
LexToken(COMMA,',',93,120)
LexToken(STRING,'',94,126)
LexToken(COMMA,',',94,128)
LexToken(ID,'null',95,134)
LexToken(COMMA,',',95,138)
LexToken(RBRACKET,']',96,142)
LexToken(SEMICOLON,';',96,143)
LexToken(FOR,'for',97,147)
LexToken(LPAREN,'(',97,151)
LexToken(VAR,'var',97,152)
LexToken(ID,'texto',97,156)
LexToken(IN,'in',97,162)
LexToken(ID,'pruebas',97,165)
LexToken(RPAREN,')',97,172)
LexToken(LBRACE,'{',97,174)
LexToken(TRY,'try',98,180)
LexToken(LBRACE,'{',98,184)
LexToken(BOOL,'bool',99,192)
LexToken(ID,'es',99,197)
LexToken(ASSIGN,'=',99,200)
LexToken(ID,'esPalindromo',99,202)
LexToken(LPAREN,'(',99,214)
LexToken(ID,'texto',99,215)
LexToken(RPAREN,')',99,220)
LexToken(SEMICOLON,';',99,221)
LexToken(PRINT,'print',100,229)
LexToken(LPAREN,'(',100,234)
LexToken(SINGLE_QUOTE,"'",100,235)
LexToken(STRING,'$texto',100,236)
LexToken(DOLLAR_SIGN,'$',100,245)
LexToken(LBRACE,'{',100,246)
LexToken(ID,'es',100,247)
LexToken(QUESTION,'?',100,250)
LexToken(STRING,'es',100,252)
LexToken(COLON,':',100,257)
LexToken(STRING,'no es',100,259)
LexToken(RBRACE,'}',100,266)
LexToken(ID,'un',100,268)
LexToken(ID,'pal',100,271)
LexToken(ID,'ndromo',100,275)
LexToken(DOT,'.',100,281)
LexToken(SINGLE_QUOTE,"'",100,282)
LexToken(RPAREN,')',100,283)
LexToken(SEMICOLON,';',100,284)
LexToken(RBRACE,'}',101,290)
LexToken(CATCH,'catch',101,292)
LexToken(LPAREN,'(',101,298)
LexToken(ID,'e',101,299)
LexToken(RPAREN,')',101,300)
LexToken(LBRACE,'{',101,302)
LexToken(PRINT,'print',102,310)
LexToken(LPAREN,'(',102,315)
LexToken(SINGLE_QUOTE,"'",102,316)
LexToken(ID,'Error',102,317)
LexToken(ID,'con',102,323)
LexToken(ID,'entrada',102,327)
LexToken(STRING,'$texto',102,335)
LexToken(COLON,':',102,343)
LexToken(DOLLAR_SIGN,'$',102,345)
LexToken(ID,'e',102,346)
LexToken(SINGLE_QUOTE,"'",102,347)
LexToken(RPAREN,')',102,348)
LexToken(SEMICOLON,';',102,349)
LexToken(RBRACE,'}',103,355)
LexToken(RBRACE,'}',104,359)
LexToken(RBRACE,'}',105,361)
LexToken(BOOL,'bool',107,364)
LexToken(ID,'esPalindromo',107,369)
LexToken(LPAREN,'(',107,381)
LexToken(STRING,'String',107,382)
LexToken(QUESTION,'?',107,388)
LexToken(ID,'input',107,390)
LexToken(RPAREN,')',107,395)
LexToken(LBRACE,'{',107,397)
LexToken(IF,'if',108,401)
LexToken(LPAREN,'(',108,404)
LexToken(ID,'input',108,405)
LexToken(EQUALS,'==',108,411)
LexToken(ID,'null',108,414)
LexToken(RPAREN,')',108,418)
