LexToken(CLASS,'class',18,51)
LexToken(ID,'Analizador',18,57)
LexToken(LBRACE,'{',18,68)
LexToken(LIST,'List',19,73)
LexToken(LESS,'<',19,77)
LexToken(INT,'int',19,78)
LexToken(GREATER,'>',19,81)
LexToken(ID,'datos',19,83)
LexToken(SEMICOLON,';',19,88)
LexToken(MAP,'Map',20,93)
LexToken(LESS,'<',20,96)
LexToken(STRING,'String',20,97)
LexToken(COMMA,',',20,103)
LexToken(DYNAMIC,'dynamic',20,105)
LexToken(GREATER,'>',20,112)
LexToken(ID,'resumen',20,114)
LexToken(SEMICOLON,';',20,121)
LexToken(ID,'Analizador',22,127)
LexToken(LPAREN,'(',22,137)
LexToken(THIS,'this',22,138)
LexToken(DOT,'.',22,142)
LexToken(ID,'datos',22,143)
LexToken(RPAREN,')',22,148)
LexToken(LBRACE,'{',22,150)
LexToken(ID,'resumen',23,157)
LexToken(ASSIGN,'=',23,165)
LexToken(LBRACE,'{',23,167)
LexToken(STRING,'min',23,168)
LexToken(COLON,':',23,173)
LexToken(INT,0,23,175)
LexToken(COMMA,',',23,176)
LexToken(STRING,'max',23,178)
LexToken(COLON,':',23,183)
LexToken(INT,0,23,185)
LexToken(COMMA,',',23,186)
LexToken(STRING,'promedio',23,188)
LexToken(COLON,':',23,198)
LexToken(FLOAT,0.0,23,200)
LexToken(COMMA,',',23,203)
LexToken(STRING,'existe',23,205)
LexToken(COLON,':',23,213)
LexToken(FALSE,'false',23,215)
LexToken(RBRACE,'}',23,220)
LexToken(SEMICOLON,';',23,221)
LexToken(RBRACE,'}',24,226)
LexToken(INT,'int',26,232)
LexToken(ID,'busquedaBinaria',26,236)
LexToken(LPAREN,'(',26,251)
LexToken(INT,'int',26,252)
LexToken(ID,'objetivo',26,256)
LexToken(RPAREN,')',26,264)
LexToken(LBRACE,'{',26,266)
LexToken(INT,'int',27,273)
LexToken(ID,'ini',27,277)
LexToken(ASSIGN,'=',27,281)
LexToken(INT,0,27,283)
LexToken(COMMA,',',27,284)
LexToken(ID,'fin',27,286)
LexToken(ASSIGN,'=',27,290)
LexToken(ID,'datos',27,292)
LexToken(DOT,'.',27,297)
LexToken(LENGTH,'length',27,298)
LexToken(MINUS,'-',27,305)
LexToken(INT,1,27,307)
LexToken(SEMICOLON,';',27,308)
LexToken(WHILE,'while',28,315)
LexToken(LPAREN,'(',28,321)
LexToken(ID,'ini',28,322)
LexToken(LESS_EQUAL,'<=',28,326)
LexToken(ID,'fin',28,329)
LexToken(RPAREN,')',28,332)
LexToken(LBRACE,'{',28,334)
LexToken(INT,'int',29,343)
LexToken(ID,'mid',29,347)
LexToken(ASSIGN,'=',29,351)
LexToken(LPAREN,'(',29,353)
LexToken(ID,'ini',29,354)
LexToken(PLUS,'+',29,358)
LexToken(ID,'fin',29,360)
LexToken(RPAREN,')',29,363)
LexToken(INT_DIVIDE,'~/',29,365)
LexToken(INT,2,29,368)
LexToken(SEMICOLON,';',29,369)
LexToken(IF,'if',30,378)
LexToken(LPAREN,'(',30,381)
LexToken(ID,'datos',30,382)
LexToken(LBRACKET,'[',30,387)
LexToken(ID,'mid',30,388)
LexToken(RBRACKET,']',30,391)
LexToken(EQUALS,'==',30,393)
LexToken(ID,'objetivo',30,396)
LexToken(RPAREN,')',30,404)
LexToken(LBRACE,'{',30,406)
LexToken(ID,'resumen',31,417)
LexToken(LBRACKET,'[',31,424)
LexToken(STRING,'existe',31,425)
LexToken(RBRACKET,']',31,433)
LexToken(ASSIGN,'=',31,435)
LexToken(TRUE,'true',31,437)
LexToken(SEMICOLON,';',31,441)
LexToken(RETURN,'return',32,452)
LexToken(ID,'mid',32,459)
LexToken(SEMICOLON,';',32,462)
LexToken(RBRACE,'}',33,471)
LexToken(ELSE,'else',33,473)
LexToken(IF,'if',33,478)
LexToken(LPAREN,'(',33,481)
LexToken(ID,'datos',33,482)
LexToken(LBRACKET,'[',33,487)
LexToken(ID,'mid',33,488)
LexToken(RBRACKET,']',33,491)
LexToken(LESS,'<',33,493)
LexToken(ID,'objetivo',33,495)
LexToken(RPAREN,')',33,503)
LexToken(LBRACE,'{',33,505)
LexToken(ID,'ini',34,516)
LexToken(ASSIGN,'=',34,520)
LexToken(ID,'mid',34,522)
LexToken(PLUS,'+',34,526)
LexToken(INT,1,34,528)
LexToken(SEMICOLON,';',34,529)
LexToken(RBRACE,'}',35,538)
LexToken(ELSE,'else',35,540)
LexToken(LBRACE,'{',35,545)
LexToken(ID,'fin',36,556)
LexToken(ASSIGN,'=',36,560)
LexToken(ID,'mid',36,562)
