CLASS (class) -> línea 73
ID (Estudiante) -> línea 73
LBRACE ({) -> línea 73
FINAL (final) -> línea 74
STRING (String) -> línea 74
ID (nombre) -> línea 74
SEMICOLON (;) -> línea 74
FINAL (final) -> línea 75
LIST (List) -> línea 75
LESS (<) -> línea 75
DOUBLE (double) -> línea 75
GREATER (>) -> línea 75
ID (notas) -> línea 75
SEMICOLON (;) -> línea 75
ID (Estudiante) -> línea 77
LPAREN (() -> línea 77
THIS (this) -> línea 77
DOT (.) -> línea 77
ID (nombre) -> línea 77
COMMA (,) -> línea 77
THIS (this) -> línea 77
DOT (.) -> línea 77
ID (notas) -> línea 77
RPAREN ()) -> línea 77
LBRACE ({) -> línea 77
IF (if) -> línea 78
LPAREN (() -> línea 78
ID (notas) -> línea 78
DOT (.) -> línea 78
ID (any) -> línea 78
LPAREN (() -> línea 78
LPAREN (() -> línea 78
ID (n) -> línea 78
RPAREN ()) -> línea 78
ARROW (=>) -> línea 78
ID (n) -> línea 78
LESS (<) -> línea 78
INT (0) -> línea 78
OR (||) -> línea 78
ID (n) -> línea 78
GREATER (>) -> línea 78
INT (10) -> línea 78
RPAREN ()) -> línea 78
RPAREN ()) -> línea 78
LBRACE ({) -> línea 78
THROW (throw) -> línea 79
ID (ArgumentError) -> línea 79
LPAREN (() -> línea 79
STRING (Las notas deben estar entre 0 y 10.) -> línea 79
RPAREN ()) -> línea 79
SEMICOLON (;) -> línea 79
RBRACE (}) -> línea 80
RBRACE (}) -> línea 81
DOUBLE (double) -> línea 83
ID (get) -> línea 83
ID (promedio) -> línea 83
ARROW (=>) -> línea 83
ID (notas) -> línea 83
DOT (.) -> línea 83
ID (reduce) -> línea 83
LPAREN (() -> línea 83
LPAREN (() -> línea 83
ID (a) -> línea 83
COMMA (,) -> línea 83
ID (b) -> línea 83
RPAREN ()) -> línea 83
ARROW (=>) -> línea 83
ID (a) -> línea 83
PLUS (+) -> línea 83
ID (b) -> línea 83
RPAREN ()) -> línea 83
DIVIDE (/) -> línea 83
ID (notas) -> línea 83
DOT (.) -> línea 83
LENGTH (length) -> línea 83
SEMICOLON (;) -> línea 83
STRING (String) -> línea 85
ID (get) -> línea 85
ID (estado) -> línea 85
ARROW (=>) -> línea 85
ID (promedio) -> línea 85
GREATER_EQUAL (>=) -> línea 85
INT (7) -> línea 85
QUESTION (?) -> línea 85
STRING (Aprobado) -> línea 85
COLON (:) -> línea 85
STRING (Reprobado) -> línea 85
SEMICOLON (;) -> línea 85
STRING (String) -> línea 87
ID (clasificacion) -> línea 87
LPAREN (() -> línea 87
RPAREN ()) -> línea 87
LBRACE ({) -> línea 87
IF (if) -> línea 88
LPAREN (() -> línea 88
ID (promedio) -> línea 88
GREATER_EQUAL (>=) -> línea 88
DOUBLE (9.0) -> línea 88
RPAREN ()) -> línea 88
RETURN (return) -> línea 88
STRING (Excelente) -> línea 88
SEMICOLON (;) -> línea 88
IF (if) -> línea 89
LPAREN (() -> línea 89
ID (promedio) -> línea 89
GREATER_EQUAL (>=) -> línea 89
DOUBLE (8.0) -> línea 89
RPAREN ()) -> línea 89
RETURN (return) -> línea 89
STRING (Bueno) -> línea 89
SEMICOLON (;) -> línea 89
IF (if) -> línea 90
LPAREN (() -> línea 90
ID (promedio) -> línea 90
GREATER_EQUAL (>=) -> línea 90
DOUBLE (7.0) -> línea 90
RPAREN ()) -> línea 90
RETURN (return) -> línea 90
STRING (Regular) -> línea 90
SEMICOLON (;) -> línea 90
RETURN (return) -> línea 91
STRING (Insuficiente) -> línea 91
SEMICOLON (;) -> línea 91
RBRACE (}) -> línea 92
RBRACE (}) -> línea 93
VOID (void) -> línea 95
ID (main) -> línea 95
LPAREN (() -> línea 95
RPAREN ()) -> línea 95
LBRACE ({) -> línea 95
LIST (List) -> línea 96
LESS (<) -> línea 96
ID (Estudiante) -> línea 96
GREATER (>) -> línea 96
ID (estudiantes) -> línea 96
ASSIGN (=) -> línea 96
LBRACKET ([) -> línea 96
ID (Estudiante) -> línea 97
LPAREN (() -> línea 97
STRING (Ana) -> línea 97
COMMA (,) -> línea 97
LBRACKET ([) -> línea 97
DOUBLE (9.0) -> línea 97
COMMA (,) -> línea 97
DOUBLE (8.5) -> línea 97
COMMA (,) -> línea 97
DOUBLE (9.2) -> línea 97
RBRACKET (]) -> línea 97
RPAREN ()) -> línea 97
COMMA (,) -> línea 97
ID (Estudiante) -> línea 98
LPAREN (() -> línea 98
STRING (Luis) -> línea 98
COMMA (,) -> línea 98
LBRACKET ([) -> línea 98
DOUBLE (6.5) -> línea 98
COMMA (,) -> línea 98
DOUBLE (7.0) -> línea 98
