LexToken(CLASS,'class',4,51)
LexToken(ID,'Analizador',4,57)
LexToken(LBRACE,'{',4,68)
LexToken(LIST,'List',5,73)
LexToken(LESS,'<',5,77)
LexToken(INT,'int',5,78)
LexToken(GREATER,'>',5,81)
LexToken(ID,'datos',5,83)
LexToken(SEMICOLON,';',5,88)
LexToken(MAP,'Map',6,93)
LexToken(LESS,'<',6,96)
LexToken(STRING,'String',6,97)
LexToken(COMMA,',',6,103)
LexToken(DYNAMIC,'dynamic',6,105)
LexToken(GREATER,'>',6,112)
LexToken(ID,'resumen',6,114)
LexToken(SEMICOLON,';',6,121)
LexToken(ID,'Analizador',8,127)
LexToken(LPAREN,'(',8,137)
LexToken(THIS,'this',8,138)
LexToken(DOT,'.',8,142)
LexToken(ID,'datos',8,143)
LexToken(RPAREN,')',8,148)
LexToken(LBRACE,'{',8,150)
LexToken(ID,'resumen',9,157)
LexToken(ASSIGN,'=',9,165)
LexToken(LBRACE,'{',9,167)
LexToken(STRING,'min',9,168)
LexToken(COLON,':',9,173)
LexToken(INT,0,9,175)
LexToken(COMMA,',',9,176)
LexToken(STRING,'max',9,178)
LexToken(COLON,':',9,183)
LexToken(INT,0,9,185)
LexToken(COMMA,',',9,186)
LexToken(STRING,'promedio',9,188)
LexToken(COLON,':',9,198)
LexToken(FLOAT,0.0,9,200)
LexToken(COMMA,',',9,203)
LexToken(STRING,'existe',9,205)
LexToken(COLON,':',9,213)
LexToken(FALSE,'false',9,215)
LexToken(RBRACE,'}',9,220)
LexToken(SEMICOLON,';',9,221)
LexToken(RBRACE,'}',10,226)
LexToken(INT,'int',12,232)
LexToken(ID,'busquedaBinaria',12,236)
LexToken(LPAREN,'(',12,251)
LexToken(INT,'int',12,252)
LexToken(ID,'objetivo',12,256)
LexToken(RPAREN,')',12,264)
LexToken(LBRACE,'{',12,266)
LexToken(INT,'int',13,273)
LexToken(ID,'ini',13,277)
LexToken(ASSIGN,'=',13,281)
LexToken(INT,0,13,283)
LexToken(COMMA,',',13,284)
LexToken(ID,'fin',13,286)
LexToken(ASSIGN,'=',13,290)
LexToken(ID,'datos',13,292)
LexToken(DOT,'.',13,297)
LexToken(LENGTH,'length',13,298)
LexToken(MINUS,'-',13,305)
LexToken(INT,1,13,307)
LexToken(SEMICOLON,';',13,308)
LexToken(WHILE,'while',14,315)
LexToken(LPAREN,'(',14,321)
LexToken(ID,'ini',14,322)
LexToken(LESS_EQUAL,'<=',14,326)
LexToken(ID,'fin',14,329)
LexToken(RPAREN,')',14,332)
LexToken(LBRACE,'{',14,334)
LexToken(INT,'int',15,343)
LexToken(ID,'mid',15,347)
LexToken(ASSIGN,'=',15,351)
LexToken(LPAREN,'(',15,353)
LexToken(ID,'ini',15,354)
LexToken(PLUS,'+',15,358)
LexToken(ID,'fin',15,360)
LexToken(RPAREN,')',15,363)
LexToken(INT_DIVIDE,'~/',15,365)
LexToken(INT,2,15,368)
LexToken(SEMICOLON,';',15,369)
LexToken(IF,'if',16,378)
LexToken(LPAREN,'(',16,381)
LexToken(ID,'datos',16,382)
LexToken(LBRACKET,'[',16,387)
LexToken(ID,'mid',16,388)
LexToken(RBRACKET,']',16,391)
LexToken(EQUALS,'==',16,393)
LexToken(ID,'objetivo',16,396)
LexToken(RPAREN,')',16,404)
LexToken(LBRACE,'{',16,406)
LexToken(ID,'resumen',17,417)
LexToken(LBRACKET,'[',17,424)
LexToken(STRING,'existe',17,425)
LexToken(RBRACKET,']',17,433)
LexToken(ASSIGN,'=',17,435)
LexToken(TRUE,'true',17,437)
LexToken(SEMICOLON,';',17,441)
LexToken(RETURN,'return',18,452)
LexToken(ID,'mid',18,459)
LexToken(SEMICOLON,';',18,462)
LexToken(RBRACE,'}',19,471)
LexToken(ELSE,'else',19,473)
LexToken(IF,'if',19,478)
LexToken(LPAREN,'(',19,481)
LexToken(ID,'datos',19,482)
LexToken(LBRACKET,'[',19,487)
LexToken(ID,'mid',19,488)
LexToken(RBRACKET,']',19,491)
LexToken(LESS,'<',19,493)
LexToken(ID,'objetivo',19,495)
LexToken(RPAREN,')',19,503)
LexToken(LBRACE,'{',19,505)
LexToken(ID,'ini',20,516)
LexToken(ASSIGN,'=',20,520)
LexToken(ID,'mid',20,522)
LexToken(PLUS,'+',20,526)
LexToken(INT,1,20,528)
LexToken(SEMICOLON,';',20,529)
LexToken(RBRACE,'}',21,538)
LexToken(ELSE,'else',21,540)
LexToken(LBRACE,'{',21,545)
LexToken(ID,'fin',22,556)
LexToken(ASSIGN,'=',22,560)
LexToken(ID,'mid',22,562)
LexToken(MINUS,'-',22,566)
LexToken(INT,1,22,568)
LexToken(SEMICOLON,';',22,569)
LexToken(RBRACE,'}',23,578)
LexToken(RBRACE,'}',24,585)
LexToken(RETURN,'return',25,592)
LexToken(MINUS,'-',25,599)
LexToken(INT,1,25,600)
LexToken(SEMICOLON,';',25,601)
LexToken(RBRACE,'}',26,606)
LexToken(VOID,'void',28,612)
LexToken(ID,'calcularResumen',28,617)
LexToken(LPAREN,'(',28,632)
LexToken(RPAREN,')',28,633)
LexToken(LBRACE,'{',28,635)
LexToken(INT,'int',29,642)
LexToken(ID,'suma',29,646)
LexToken(ASSIGN,'=',29,651)
LexToken(INT,0,29,653)
LexToken(COMMA,',',29,654)
LexToken(ID,'min',29,656)
LexToken(ASSIGN,'=',29,660)
LexToken(ID,'datos',29,662)
LexToken(LBRACKET,'[',29,667)
LexToken(INT,0,29,668)
LexToken(RBRACKET,']',29,669)
LexToken(COMMA,',',29,670)
LexToken(ID,'max',29,672)
LexToken(ASSIGN,'=',29,676)
LexToken(ID,'datos',29,678)
LexToken(LBRACKET,'[',29,683)
LexToken(INT,0,29,684)
LexToken(RBRACKET,']',29,685)
LexToken(SEMICOLON,';',29,686)
LexToken(FOR,'for',30,693)
LexToken(LPAREN,'(',30,697)
LexToken(INT,'int',30,698)
LexToken(ID,'val',30,702)
LexToken(IN,'in',30,706)
LexToken(ID,'datos',30,709)
LexToken(RPAREN,')',30,714)
LexToken(LBRACE,'{',30,716)
LexToken(ID,'suma',31,725)
LexToken(PLUS_EQUAL,'+=',31,730)
LexToken(ID,'val',31,733)
LexToken(SEMICOLON,';',31,736)
LexToken(IF,'if',32,745)
LexToken(LPAREN,'(',32,748)
LexToken(ID,'val',32,749)
LexToken(LESS,'<',32,753)
LexToken(ID,'min',32,755)
LexToken(RPAREN,')',32,758)
LexToken(ID,'min',32,760)
LexToken(ASSIGN,'=',32,764)
