CLASS (class) -> línea 194
ID (Analizador) -> línea 194
LBRACE ({) -> línea 194
LIST (List) -> línea 195
LESS (<) -> línea 195
INT (int) -> línea 195
GREATER (>) -> línea 195
ID (datos) -> línea 195
SEMICOLON (;) -> línea 195
MAP (Map) -> línea 196
LESS (<) -> línea 196
STRING (String) -> línea 196
COMMA (,) -> línea 196
DYNAMIC (dynamic) -> línea 196
GREATER (>) -> línea 196
ID (resumen) -> línea 196
SEMICOLON (;) -> línea 196
ID (Analizador) -> línea 198
LPAREN (() -> línea 198
THIS (this) -> línea 198
DOT (.) -> línea 198
ID (datos) -> línea 198
RPAREN ()) -> línea 198
LBRACE ({) -> línea 198
ID (resumen) -> línea 199
ASSIGN (=) -> línea 199
LBRACE ({) -> línea 199
STRING (min) -> línea 199
COLON (:) -> línea 199
INT (0) -> línea 199
COMMA (,) -> línea 199
STRING (max) -> línea 199
COLON (:) -> línea 199
INT (0) -> línea 199
COMMA (,) -> línea 199
STRING (promedio) -> línea 199
COLON (:) -> línea 199
DOUBLE (0.0) -> línea 199
COMMA (,) -> línea 199
STRING (existe) -> línea 199
COLON (:) -> línea 199
FALSE (false) -> línea 199
RBRACE (}) -> línea 199
SEMICOLON (;) -> línea 199
RBRACE (}) -> línea 200
INT (int) -> línea 202
ID (busquedaBinaria) -> línea 202
LPAREN (() -> línea 202
INT (int) -> línea 202
ID (objetivo) -> línea 202
RPAREN ()) -> línea 202
LBRACE ({) -> línea 202
INT (int) -> línea 203
ID (ini) -> línea 203
ASSIGN (=) -> línea 203
INT (0) -> línea 203
COMMA (,) -> línea 203
ID (fin) -> línea 203
ASSIGN (=) -> línea 203
ID (datos) -> línea 203
DOT (.) -> línea 203
LENGTH (length) -> línea 203
MINUS (-) -> línea 203
INT (1) -> línea 203
SEMICOLON (;) -> línea 203
WHILE (while) -> línea 204
LPAREN (() -> línea 204
ID (ini) -> línea 204
LESS_EQUAL (<=) -> línea 204
ID (fin) -> línea 204
RPAREN ()) -> línea 204
LBRACE ({) -> línea 204
INT (int) -> línea 205
ID (mid) -> línea 205
ASSIGN (=) -> línea 205
LPAREN (() -> línea 205
ID (ini) -> línea 205
PLUS (+) -> línea 205
ID (fin) -> línea 205
RPAREN ()) -> línea 205
INT_DIVIDE (~/) -> línea 205
INT (2) -> línea 205
SEMICOLON (;) -> línea 205
IF (if) -> línea 206
LPAREN (() -> línea 206
ID (datos) -> línea 206
LBRACKET ([) -> línea 206
ID (mid) -> línea 206
RBRACKET (]) -> línea 206
EQUALS (==) -> línea 206
ID (objetivo) -> línea 206
RPAREN ()) -> línea 206
LBRACE ({) -> línea 206
ID (resumen) -> línea 207
LBRACKET ([) -> línea 207
STRING (existe) -> línea 207
RBRACKET (]) -> línea 207
ASSIGN (=) -> línea 207
TRUE (true) -> línea 207
SEMICOLON (;) -> línea 207
RETURN (return) -> línea 208
ID (mid) -> línea 208
SEMICOLON (;) -> línea 208
RBRACE (}) -> línea 209
ELSE (else) -> línea 209
IF (if) -> línea 209
LPAREN (() -> línea 209
ID (datos) -> línea 209
LBRACKET ([) -> línea 209
ID (mid) -> línea 209
RBRACKET (]) -> línea 209
LESS (<) -> línea 209
ID (objetivo) -> línea 209
RPAREN ()) -> línea 209
LBRACE ({) -> línea 209
ID (ini) -> línea 210
ASSIGN (=) -> línea 210
ID (mid) -> línea 210
PLUS (+) -> línea 210
INT (1) -> línea 210
SEMICOLON (;) -> línea 210
RBRACE (}) -> línea 211
ELSE (else) -> línea 211
LBRACE ({) -> línea 211
ID (fin) -> línea 212
ASSIGN (=) -> línea 212
ID (mid) -> línea 212
MINUS (-) -> línea 212
INT (1) -> línea 212
SEMICOLON (;) -> línea 212
RBRACE (}) -> línea 213
RBRACE (}) -> línea 214
RETURN (return) -> línea 215
MINUS (-) -> línea 215
INT (1) -> línea 215
SEMICOLON (;) -> línea 215
RBRACE (}) -> línea 216
VOID (void) -> línea 218
ID (calcularResumen) -> línea 218
LPAREN (() -> línea 218
RPAREN ()) -> línea 218
LBRACE ({) -> línea 218
INT (int) -> línea 219
ID (suma) -> línea 219
ASSIGN (=) -> línea 219
INT (0) -> línea 219
COMMA (,) -> línea 219
ID (min) -> línea 219
ASSIGN (=) -> línea 219
ID (datos) -> línea 219
LBRACKET ([) -> línea 219
INT (0) -> línea 219
RBRACKET (]) -> línea 219
COMMA (,) -> línea 219
ID (max) -> línea 219
ASSIGN (=) -> línea 219
ID (datos) -> línea 219
LBRACKET ([) -> línea 219
INT (0) -> línea 219
RBRACKET (]) -> línea 219
SEMICOLON (;) -> línea 219
FOR (for) -> línea 220
LPAREN (() -> línea 220
INT (int) -> línea 220
ID (val) -> línea 220
IN (in) -> línea 220
ID (datos) -> línea 220
RPAREN ()) -> línea 220
LBRACE ({) -> línea 220
ID (suma) -> línea 221
PLUS_EQUAL (+=) -> línea 221
ID (val) -> línea 221
SEMICOLON (;) -> línea 221
IF (if) -> línea 222
LPAREN (() -> línea 222
ID (val) -> línea 222
LESS (<) -> línea 222
ID (min) -> línea 222
RPAREN ()) -> línea 222
ID (min) -> línea 222
ASSIGN (=) -> línea 222
ID (val) -> línea 222
SEMICOLON (;) -> línea 222
IF (if) -> línea 223
LPAREN (() -> línea 223
ID (val) -> línea 223
